,Číslo záznamu,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu v latince,Název díla v původním písmu,Údaje o odpovědnosti a další informace (z titulní strany),Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel",Nakadatel v původním písmu,"Edice, svazek",Název edice v původním písmu,Údaje o časopiseckém vydání,Název časopisu v původním písmu,Počet stran,Rok,ISBN,Další role,Další role v původním písmu,Zdroj či odkaz,Volná poznámka,technická poznámka,Sloupec1,non-fiction
430,431,kniha,,celé dílo,překlad,,"Pekárek, Karel (jx20080305015)",I Tsechoslovakia,Η Τσεχοσλοβακία,,originál neznámý,gre,cze,,,Praha (Česká republika) : Orbis,,,,,,152,1962,,,,,"2., rozšířené a doplněné vydání",,možná mám někde ofocené,nan
431,432,kniha,nan,celé dílo,překlad,nan,"Hájek, Jiří (jk01033052)",Deka chronia meta : Praga 1968–1978,Δέκα χρόνια μετά : Πράγα 1968–1978,Metafrasi Jannis Kritikos,1968,gre,cze,nan,nan,? (Řecko) : Themelio,Θεμέλιο,nan,nan,nan,nan,227,1978,nan,"Kritikos, Jannis (trl)","Κρητικός, Γιάννης",nan,nan,nan,nan,nan
432,433,kniha,,celé dílo,překlad,,"Havel, Václav (jk01040240)",Apo ti fylaki stin Proedria : Synendefxi me to dimosiografo Karel Hvižďala,Από τη φυλακή στην Προεδρία : Συνέντευξη με το δημοσιογράφο Karel Hvižďala,"Epithymio Milan Kundera ""Timi ston Vatslav Chavel""",Dálkový výslech,gre,cze,,,Soluň (Řecko) : Paratiritis,Παρατηρητής,,,,,279,1990,960-260-271-6,"Kolas, Jannis (trl) § Kundera, Milan (aft) § Nianios, Evanjelos (trl) § Rubes, Jan (aft)","Κόλας, Γιάννης § Κούντερα, Μίλαν § Νιάνιος, Ευάγγελος § Ρούμπες, Γιάν",,"Předmluva nakladatele § Rubes, Jan : Poznámka překladatele francouzského vydání § Kundera, Milan : ""Timi ston Vatslav Havel"" § Životopisné poznámky",,nan,nan
433,434,kniha,nan,antologie,překlad,nan,"Havel, Václav (jk01040240)",En archi in o logos,Εν αρχή ην ο λόγος,nan,originál neexistuje,gre,cze,nan,nan,? (Řecko) : Paratiritis,Παρατηρητής,nan,nan,nan,nan,272,1990,978-960-260-296-6,"Kokavesis, Fotis (trl) § Brondersen, Inge (aui)","Κοκαβέσης, Φώτης § Μπρόντερσεν, Ίγκε",nan,"Nakladatel : předmluva § ""O syngrafeas"" § ""Ta kimena"" § Brondersen, Inge : krátký text",nan,nan,nan
434,435,část knihy,434,celé dílo,překlad,,"Havel, Václav (jk01040240)",Gramma ston Alexander Dumbtsek,Γράμμα στον Αλεξάντερ Ντούμπτσεκ,,Dopis Alexandru Dubčekovi,gre,cze,,,,,,,,,,,,,,,VIII.69,,nan,nan
435,436,část knihy,434,celé dílo,překlad,nan,"Havel, Václav (jk01040240)",Anichti epistoli ston Gustav Huzak,Ανοιχτή επιστολή στον Γκούσταβ Χούζακ,nan,Dopis Gustávu Husákovi,gre,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,IV.75,nan,nan,nan
436,437,část knihy,434,celé dílo,překlad,,"Havel, Václav (jk01040240)",Politiki ke synidisi,Πολιτική και συνείδηση,,Politika a svědomí,gre,cze,,,,,,,,,,,,,,,II.84,,nan,nan
437,438,část knihy,434,celé dílo,překlad,nan,"Havel, Václav (jk01040240)",I anatomia tis epifylaktikotitas,Η ανατομία της επιφυλακτικότητας,nan,Anatomie jedné zdrženlivosti,gre,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,IV.85,nan,nan,nan
438,439,část knihy,434,celé dílo,překlad,,"Havel, Václav (jk01040240)",To mellon ine kino ja olus,Το μέλλον είναι κοινό για όλους,,Děkovná řeš za Erasmusovu cenu,gre,cze,,,,,,,,,,,,,,,III.86,,nan,nan
439,440,část knihy,434,celé dílo,překlad,nan,"Havel, Václav (jk01040240)",Oloklirotismos,Ολοκληρωτισμός,nan,Příběh a totalita,gre,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,IV.87,nan,nan,nan
440,441,část knihy,434,celé dílo,překlad,,"Havel, Václav (jk01040240)",Dyo loja peri tu Logu,Δυο λόγια περί του Λόγου,,Slovo o slovo,gre,cze,,,,,,,,,,,,,,,X.89,,nan,nan
441,442,část knihy,434,celé dílo,překlad,nan,"Havel, Václav (jk01040240)",Ypothesi «Elpida»,Υπόθεση «Ελπίδα»,nan,Hodina mezi zkrachovancem a politikem,gre,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,X.89,nan,nan,nan
442,443,část knihy,434,celé dílo,překlad,,"Havel, Václav (jk01040240)",Pia ine i dimokratia pu onirevome,Ποια είναι η δημοκρατία που ονειρεύομαι,,Novoroční projev 1. 1. 1990,gre,cze,,,,,,,,,,,,,,,Nový rok 1990,,nan,nan
443,444,kniha,nan,antologie,překlad,nan,"Garaudy, Roger",I eleftheria en anastoli : Praga 1968,Η ελευθερία εν αναστολή : Πράγα 1968,"Mazi me kimena ton: A. Dumbtsek, Ota Sik, Jiri Chazek",La liberté en sursis,gre,fre,nan,nan,Atény (Řecko) : Planitis,Πλανήτης,nan,nan,nan,nan,174,1968–71,nan,"Garaudy, Roger (edt) § Kostelenos, D. P. (trl)","Garaudy, Roger § Κωστελένος, Δ. Π.",nan,"Garaudy, Roger : Úvod",nan,nan,nan
444,445,část knihy,444,celé dílo,překlad,,"Dubček, Alexander (jn19990209161)",Dubček : Afto pu thelume,Dubček : Αυτό που θέλουμε,,Originál neznámý,gre,slo,,,,,,,,,,,,,,,,,"vlastně nevím, jestli psal Dubček slovensky, nebo česky. Zahrnula jsem ho, protože patří k české kultuře",nan
445,446,část knihy,444,celé dílo,překlad,nan,nan,I sosialistiki Dimokratia,Η σοσιαλιστική Δημοκρατία,nan,Originál neznámý,gre,slo,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,totéž,nan
446,447,část knihy,444,úryvky,překlad,,,To programma drasis tu Kommunistiku kommatos Tsechoslovakias,Το πρόγραμμα δράσης του Κομμουνιστικού κόμματος Τσεχοσλοβακίας,,Akční program KSČ,gre,cze,,,,,,,,,,,,,,,úryvky,,nan,nan
447,448,část knihy,444,celé dílo,překlad,nan,"Šik, Ota (jk01122884)",To systima ikonomikis diachirisis tu Ota Sik,Το σύστημα οικονομικής διαχείρησης του Ότα Σικ,nan,Ota Šik : Jak řídíme,gre,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,"televizní pořad ČST Fakta, 8. 7. 1968",nan,nan,nan
448,449,část knihy,444,celé dílo,překlad,,"Richta, Radovan (jk01102454)",Ja ena anthropino protypo tu techniku politismu : apo ton Randovan Richta,Για ένα ανθρώπινο πρότυπο του τεχνικού πολιτισμού. από τον Ράντοβαν Ρίχτα,,originál neznámý,gre,cze,,,,,,,,,,,,,,,,,nan,nan
449,450,část knihy,444,celé dílo,překlad,nan,"Šamalík, František (jk01122456)",Sosialistiki dimokratia ke syngendrotikos grafiokratismos : tu Frandisek Tsamalik,Σοσιαλιστική δημοκρατία και συγκεντρωτικός γραφειοκρατισμός. του Φράντισεκ Τσάμαλικ,nan,originál neznámý,gre,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
450,451,část knihy,444,celé dílo,překlad,,"Husák, Gustáv (jn20000401125)",Ena kenurio yfos ergasias : tu Gustav Huzak,Ένα καινούριο εργασίας : του Γκούσταβ Χούζακ,,Originál neznámý,gre,slo,,,,,,,,,,,,,,,,,"zahrnout, nebo vynechat?",nan
451,452,část knihy,444,celé dílo,překlad,nan,"Hájek, Jiří (jk01033052)",I exoteriki politiki mas : tu Jiri Hazek,Η εξοτερική πολιτική μας : του Γίρι Χάζεκ,nan,Originál neznámý,gre,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
452,453,část knihy,444,celé dílo,překlad,,"Goldstücker, Eduard (jk01032520)","Kultura, syngrafis ke sosialistiki dimokratia : tu Eduarnd Goldsaker","Κουλτούρα, συγγραφείς και σοσιαλιστική δημοκρατία : του Έντουαρντ Γκόλωτσακερ",,Eduard Goldstücker : rozhovor s čs televizí z dubna 1968,gre,cze,,,,,,,,,,,,,,,,,jako u Dubčeka,nan
453,454,kniha,nan,celé dílo,překlad,nan,"Klaus, Václav",O dromos pros ti dimokratia,Ο δρόμος προς τη δημοκρατία,nan,On the Road to Democracy : The Czech Republic from Communism To Free Society,gre,eng,nan,nan,Atény (Řecko) : Kastaniotis,Καστανιώτης,Dokimia,Δοκίμια,nan,nan,339,2006,960-03-4307-1,"Goodman, John C. (aui) § Traikoglu, Maria-Roza (trl) § Zombanakis, Minos A. (aui)","Goodman, John C. § Τραϊκόγλου, Μαρία-Ρόζα § Ζομπανάκης, Μίνως Α.",nan,"1. vydání § Medailon autora § Goodman, John C. : úvod § Zombanakis, Minos A. : předmluva k řeckému vydání",nan,nan,nan
454,455,kniha,,celé dílo,překlad,,"Kosta, J. (jk01061970) § Meyer, J. § Weber, S.",I emborevmatiki paragoji sto sosialismo : Meletes pano sti theoria tu Marx ke tin praxi stin anatoliki Evropi,Η εμπορευματική παραγωγή στο σοσιαλισμό : Μελέτες πάνω στη θεωρία τού Μάρξ καί τήν πράξη στήν ανατολική Ευρώπη,,Warenproduktion im Sozialismus : Überlegungen zur Theorie von Marx und zur Praxis in Osteuropa,gre,ger,,,? (Řecko) : Anagnostidi,Αναγνωστίδη,,,,,327,????,,"Kamburidis, Stavros (trl)","Καμπουρίδης, Σταύρος",,"Jiri Kosta, Jan Meyer, Sibylle Weber : předmluva",,nan,nan
455,456,kniha,nan,celé dílo,překlad,nan,"Kozák, Jan (jk01062556)",I epanastasis ke to kinovulion,Η επανάστασις και το κοινοβούλιον,"Jan Kozak, Theoritiku tu Kommunistiku Kommatos tis Tsechoslovakias",Možnost revolučního využití parlamentu při přechodu k socialismu a úloha lidových mas,gre,cze,nan,nan,Atény (Řecko) : ?,nan,nan,nan,nan,nan,69,1961,nan,nan,nan,nan,"Předmluva k řeckému vydání § ze sborníku Příspěvky k dějinám KSČ. Sv. 1, 1957: SNPL, Praha.",nan,nan,nan
456,457,kniha,,celé dílo,překlad,,"Lorenc, Alojz (js20020812085)",Ypurjio tu tromu; Apo tin «Anixi tis Pragas» sti  «Veludini Epanastasi»,Υπουργείο του τρόμου; Από την «Άνοιξη της Πράγας» στη «Βελουδινή Επανάσταση»,Isagogi metafrasi parartimata simiosis Manolis Stavrakakis,Ministerstvo strachu,gre,cze,,,Atény (Řecko) : Topos,Τόπος,Martyries,Μαρτυρίες,,,364,2008,978-960-6760-64-8,"Kuvelis, Fotis (aui) § Stavrakakis, Manolis (trl, aui, aft)","Κουβέλης, Φώτης § Σταυρακάκης, Μανώλης",,"Kuvelis, Fotis : ""Andi prologu"" § ""Isagojiko simioma tu metafrasti Par' oligon... kataskopos!"" § Stavrakakis, Manolis : přílohy k řeckému vydání, poznámky",,nan,nan
457,458,kniha,nan,celé dílo,překlad,nan,"Matouš, Milan (jk01080764)",Asigasto metopo : I Tsechoslovakia ston agona kata tis ideolojikis ypomomeftikis drastiriotitas,Ασίγαστο μέτωπο : Η Τσεχοσλοβακία στον αγώνα κατά της ιδεολογικής υπονομευτικής δραστηριότητας,nan,Fronta bez příměří : Československo v boji proti ideologické diverzi,gre,cze,rus,Фронт без перемирия,Atény (Řecko) : Synchroni epochi,Σύγχρονη εποχή,nan,nan,nan,nan,262,1979,nan,"Kutsukali, Aleku (trl)","Κουτσουκάλη, Αλέκου",nan,"""Prologos tu ekdoti"" § Náklad 2 000",nan,nan,nan
458,459,kniha,,celé dílo,překlad,,"Martinic, Jaroslav (jk01080366)",Provlimata katartisis epistimonon stis ypo anaptyxi chores,Προβλήματα κατάρτισης επιστημόνων στις υπό ανάπτυξη χώρες,"2. evdomada synchronis skepsis ""Marxismos ke epistimi"", 4-14 Maiu 1966 § Jaroslav Martinic Prytanis tu Panepistimiu tis 17is Noemvriu tis Pragas",Originál neznámý,gre,cze,,,? (Řecko) : Kendro marxistikon meleton ke erevnon,Κέντρο μαρξιστικών μελετών και ερευνών,,,,,17,1966,,"Anjelu, Anna (trl, aui)","Άγγελου, Άννα",,Medailon autora,,nan,nan
459,460,kniha,nan,antologie,překlad,nan,"Riese, Hans-Peter (jo2008420239)",Meta ti anixi tis Pragas : I charta '77 ke o agonas ja ta anthropina dikeomata stin Tsechoslovakia,Μετά τη άνοιξη της Πράγας : Η χάρτα '77 και ο αγώνας για τα ανθρώπινα δικαιώματα στην Τσεχοσλοβακία,Epimelia Hans-Peter Riese § Prologos Arthur Miller § Metafrasi Marlenas Jeorjadi,"Bürgerinitiative für die Menschenrechte : die tschechoslowakische Opposition zwischen dem ""Prager Frühling"" und der ""Charta '77""",gre,nan,ger,nan,? (Řecko) : Sideris,Σιδέρης,Pistiria,Πειστήρια,nan,nan,286,1980,nan,"Jeorjadi, Marlena (trl) § Miller, Arthur (aui) § Riese, Hans-Peter (edt, aft)","Γεωργιάδη, Μαρλένα § Miller, Arthur § Riese, Hans-Peter",nan,"Miller, Arthur : Předmluva § Riese, Hans-Peter : doslov § Životopisné poznámky",nan,"jako autora jsem uvedla redaktora antologie, je to správně? NE, AUTOR ANTOLOGIE SE ZDE NEUVEDE (ZNAMENALO BY TO, ŽE JE TÉŽ AUTOREM VŠECH ČÁSTÍ, KDE AUTOR NENÍ UVEDEN) UŽ JE UVEDEN V DALŠÍCH ROLÍCH JAKO EDITOR",nan
460,461,část knihy,460,celé dílo,,,,Mia Diamartyria me aformi tin Proti Epetio tis Katochis,Μια Διαμαρτυρία με αφορμή την Πρώτη Επέτειο της Κατοχής,,Manifest Deset bodů,,cze,,,,,,,,,,,,,,,,,nan,nan
461,462,část knihy,460,celé dílo,nan,nan,nan,Apospasma apo tin Teliki Apofasi tis Diaskepsis tu Elsinky ja tin Asfaleia ke tin Synergasia stin Evropi,Απόσπασμα από την Τελική Απόφαση της Διάσκεψης του Ελσίνκι για την Ασφάλεια και την Συνεργασία στην Ευρώπη,nan,"část 1., bod VII Závěrečného aktu Konference o bezpečnosti a spolupráci v Evropě",nan,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
462,463,část knihy,460,celé dílo,,,,I Charta '77,Η Χάρτα '77,,Prohlášení Charty 77,,cze,,,,,,,,,,,,,,,,,nan,nan
463,464,část knihy,460,celé dílo,nan,nan,"Hübl, Milan (jk01043153)",O Milan Hübl ston Gustav Husák,Ο Milan Hübl στον Gustav Husák,nan,Milan Hübl Gustavu Husákovi,nan,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,IV.72,nan,nan,nan
464,465,část knihy,460,celé dílo,,,"Havel, Václav (jk01040240)",O Václav Havel ston Gustav Husák,Ο Václav Havel στον Gustav Husák,,Václav Havel Gustavu Husákovi,,cze,,,,,,,,,,,,,,,8. dubna 1975,,nan,nan
465,466,část knihy,460,celé dílo,nan,nan,nan,Mia Ekklisi ton Synjenon ton Politikon Kratumenon,Μια Έκκληση των Συγγενών των Πολιτικών Κρατούμενων,nan,Dopis příbuzných předních českých politických vězňů prezidentu G. Husákovi,nan,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,1. března 1976,nan,nan,nan
466,467,část knihy,460,celé dílo,,,,Pros tus Polites tis Tsechoslovakias,Προς τους Πολίτες της Τσεχοσλοβακίας,,"Socialistické hnutí československých občanů : ""Českoslovenští občané""",,cze,,,,,,,,,,,,,,,IX.71,,nan,nan
467,468,část knihy,460,celé dílo,nan,nan,"Janouch, František (jk01051030)",O Dr. František Janouch ston Proedro tu Anotatu Dikastiriu,Ο Δρ. František Janouch στον Πρόεδρο του Ανώτατου Δικαστηρίου,nan,Respektovat Ústavu republiky! F. Janouch předsedovi Nejvyššího soudu ČSR,nan,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,"Listy. únor 1973, č. 1, str. 52",nan,nan,nan
468,469,část knihy,460,celé dílo,,,"Kohout, Pavel (jk01061137)","O Pavel Kohout ston Milan Klusák, Ypurgo Politismu tis Dimokratias tis Tsechoslovakias","Ο Pavel Kohout στον Milan Klusák, Υπουργό Πολιτισμού της Δημοκρατίας της Τσεχοσλοβακίας",,Pavel Kohout : Otevřený dopis ministru kultury Milanu Klusákovi,,cze,,,,,,,,,,,,,,,"Listy. únor 1974, č. 1, str. 25–26",,nan,nan
469,470,část knihy,460,celé dílo,nan,nan,"Dubček, Alexander (jn19990209161)",O Alejander Dubček stin Omospondiaki Kyvernisi tis Tsechoslovakias ke to Ethniko Symvulio tis Slovakias,Ο Alejander Dubček στην Ομοσπονδιακή Κυβέρνηση της Τσεχοσλοβακίας και το Εθνικό Συμβούλιο της Σλοβακίας,nan,Dopis Alexandra Dubčeka Federálnímu shromáždění a Slovenské národní radě 28. 10. 1974,nan,slo,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,"Listy. duben 1975, č. 3, str. 3",nan,nan,nan
470,471,část knihy,460,celé dílo,,,"Kriegel, František (jk01063329) § Sekaninová-Čakrtová, Gertruda (xx0055978) § Vodsloň, František (jk01150287)","O Dr. František Kriegel, i Dr. Gertruda Sekaninová-Čakrtová ke o František Vodslon stin Omospondiaki Kyvernisi tis Tsechoslovakias","Ο Δρ. František Kriegel, η Δρ. Gertruda Sekaninová-Čakrtová και ο František Vodslon στην Ομοσπονδιακή Κυβέρνηση της Τσεχοσλοβακίας",,"Návrhy Františka Vodsloně, Gertrudy Sekaninové-Čakrtové a Františka Kriegla Federálnímu shromáždění ČSSR",,cze,,,,,,,,,,,,,,,08.11.1975,,nan,nan
471,472,část knihy,460,celé dílo,nan,nan,"Kaplan, Karel (jk01052903)",O Karel Kaplan stin Ijesia tu Kommunistiku Kommatos ke tin Kyvernisi tis Tsechoslovakias,Ο Karel Kaplan στην Ηγεσία του Κομμουνιστικού Κόμματος και την Κυβέρνηση της Τσεχοσλοβακίας,nan,Dopis Karla Kaplana politickému a státnímu vedení ČSSR,nan,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,20.10.1975,nan,nan,nan
472,473,část knihy,460,celé dílo,,,"Kosík, Karel (jk01061936)",O Karel Kosík ston Jean-Paul Sartre,Ο Karel Kosík στον Jean-Paul Sartre,,Le philosophe tchécoslovaque écrit à Jean-Paul Sartre,,fre,,,,,,,,,,,,,,,Le Monde. 29. 6. 1975,,nan,nan
473,474,část knihy,460,celé dílo,nan,nan,"Sartre, Jean-Paul (jn19990007359)",O Jean-Paul Sartre ston Karel Kosík,Ο Jean-Paul Sartre στον Karel Kosík,nan,Odpověď Jeana-Paula Sartra,nan,fre,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,"In : ""Sartre a Kosík, Češi a Francouzi,"" § Salon (Příloha Práva). 28. 6. 2001, č. 244, str. 3",nan,nan,nan
474,475,část knihy,460,celé dílo,,,"Kohout, Pavel (jk01061137)",O Pavel Kohout ston Heinrich Böll ke ton Arthur Miller,Ο Pavel Kohout στον Heinrich Böll και τον Arthur Miller,,Dopis Pavla Kohouta evropským a americkým spisovatelům a jejich organizacím,,cze,,,,,,,,,,,,,,,,,nan,nan
475,476,část knihy,460,celé dílo,nan,nan,"Vaculík, Ludvík (jk01141068)","O Ludvík Vaculík ston Kurt Waldheim, Jeniko Grammatea ton Enomenon Ethnon","Ο Ludvík Vaculík στον Kurt Waldheim, Γενικό Γραμματέα των Ενωμένων Εθνών",nan,Dopis Ludvíka Vaculíka generálnímu tajemníkovi OSN,nan,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,29.07.1975,nan,nan,nan
476,477,část knihy,460,celé dílo,,,"Prečan, Vilém (jk01101002)",O Vilém Precan pros to Pangosmio Synedrio ton Istorikon ston Ajo Frangisko ton Avgusto 1975,Ο Vilém Precan προς το Παγκόσμιο Συνέδριο των Ιστορικών στον Άγιο Φραγκίσκο τον Αύγουστο 1975,,Dopis Vilém Prečana světovému kongresu historiků v San Franciscu,,cze,,,,,,,,,,,,,,,VIII.75,,nan,nan
477,478,část knihy,460,celé dílo,nan,nan,"Šabatová, Anna (xx0011505)",I Anna Šabatová s' ola ta Kommunistika ke Ergatika Kommata,Η Anna Šabatová σ' όλα τα Κομμουνιστικά και Εργατικά Κόμματα,nan,Dopis Anny Šabatové všem komunistickým a dělnickým stranám z ledna 1973,nan,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,"Listy. 1973, č. 2, str. 7",nan,nan,nan
478,479,část knihy,460,celé dílo,,,"Mlynář, Zdeněk (jk01081920)",O Sdenek Mlynar stus Kommunistes ke tus Sosialistes tis Evropis,Ο Sdenek Mlynar στους Κομμουνιστές και τους Σοσιαλιστές της Ευρώπης,,Dopis Zdeňka Mlynáře státním orgánům ze dne 8. září 1976,,cze,,,,,,,,,,,,,,,,,nan,nan
479,480,část knihy,460,celé dílo,nan,nan,"Seifert, Jaroslav (jk01110657)",Anikti Epistoli ston Heinrich Böll apo Diaforus Tsechoslovakus Syngrafis,Ανοικτή Επιστολή στον Heinrich Böll από Διάφορους Τσεχοσλοβάκους Συγγραφείς,nan,Dopis Jaroslava Seiferta a druhů H. Böllovi s žádostí o solidaritu pro skupinu mladých hudebníků postavených před soud,nan,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,16.08.1976,nan,nan,nan
480,481,část knihy,460,celé dílo,,,"Böll, Heinrich (jn19990000996)",O Heinrich Böll ston Jaroslav Seifert,Ο Heinrich Böll στον Jaroslav Seifert,,Odpověď Heinricha Bölla Jaroslavu Seifertovi,,ger,,,,,,,,,,,,,,,04.09.1976,,nan,nan
481,482,část knihy,460,celé dílo,nan,nan,"Kohout, Pavel (jk01061137)",Pavel Kohout : i periptosi tu,Pavel Kohout : η περίπτωσή του,nan,"""Případ"" Kohout",nan,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,"Listy. prosinec 1979, č. 7, str. 11–13",nan,nan,nan
482,483,část knihy,460,celé dílo,,,,Dokumendo No. 2,Ντοκουμέντο Νο. 2,,Charta 77 – dokument č. 2 : policejní akce proti hnutí Charty 77 ve dnech 6. a 7. ledna 1977,,cze,,,,,,,,,,,,,,,8. ledna 1977,,nan,nan
483,484,část knihy,460,celé dílo,nan,nan,nan,Dokumendo No. 3,Ντοκουμέντο Νο. 3,nan,Charta 77 – dokument č. 3 : smysl hnutí Charty 77 a persekuční kampaň státních orgánů proti němu,nan,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,15.01.1977,nan,nan,nan
484,485,část knihy,460,celé dílo,,,,Dokumendo No. 4,Ντοκουμέντο Νο. 4,,Charta 77 – dokument č. 4 : diskriminace v oblasti práva na vzdělání v Československu,,cze,,,,,,,,,,,,,,,I.77,,nan,nan
485,486,část knihy,460,celé dílo,nan,nan,nan,Dokumendo No. 6,Ντοκουμέντο Νο. 6,nan,Charta 77 – dokument č. 6 : přehled o persekučních akcích státního a hospodářského aparátu proti signatářům Charty 77,nan,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,15. února 1977,nan,nan,nan
486,487,část knihy,460,celé dílo,,,,Dokumendo No. 7,Ντοκουμέντο Νο. 7,,Charta 77 – dokument č. 7 : kritika poměrů v oblasti sociálních a hospodářských práv v Československu,,cze,,,,,,,,,,,,,,,8. března 1977,,nan,nan
487,488,část knihy,460,celé dílo,nan,nan,nan,Dokumendo No. 8,Ντοκουμέντο Νο. 8,nan,Charta 77 – dokument č. 8 : seznam všech dosavadních signatářů Charty,nan,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,9. března 1977,nan,nan,nan
488,489,část knihy,460,celé dílo,,,,Dokumendo No. 9,Ντοκουμέντο Νο. 9,,"Charta 77 – dokument č. 9 : porušování svobody vyznání, víry a náboženství v Československu",,cze,,,,,,,,,,,,,,,22. dubna 1977,,nan,nan
489,490,část knihy,460,celé dílo,nan,nan,nan,Dokumendo No. 10,Ντοκουμέντο Νο. 10,nan,"Charta 77 – dokument č. 10 : výsledky a poznatky z prvních čtyř měsíců hnutí Charty 77, návrh na okamžitá opatření v oblasti lidských a občanských práv v Československu",nan,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,25. dubna 1977,nan,nan,nan
490,491,část knihy,460,celé dílo,,,"Patočka, Jan (jk01091914)",Ti bori na elpizi pos tha petychi i CHARTA '77,Τι μπορεί να ελπίζει θα πετύχει η ΧΑΡΤΑ '77,,Co můžeme očekávat od Charty 77?,,cze,,,,,,,,,,,,,,,08.03.1977,,nan,nan
491,492,kniha,nan,celé dílo,překlad,nan,"Richta, Radovan (jk01102454)",O politismos sto stavrodromi : I synepies tis epistimonikotechnikis epanastasis sto mellon tu anthropu,Ο πολιτισμός στο σταυροδρόμι : Οι συνέπειες της επιστημονικοτεχνικής επανάστασης στο μέλλον του ανθρώπου,Metafrasi Nikos Karas Politikos michanikos,Civilizace na rozcestí : Společenské a lidské souvislosti vědeckotechnické revoluce,gre,cze,nan,nan,? (Řecko) : Rappas–Kedros,Ράππας–Κέδρος,Provlimata tu keru mas,Προβλήματα του καιρού μας,nan,nan,428,1978,nan,"Karas, Nikos (trl) § Rappas, Lambis (aft) § Ŝorm, F. (aui)","Καράς, Νίκος § Ράππας, Λάμπης § Ŝorm, F.",nan,"Rappas, Lambis : poznámka editora § Ŝorm, F. : předmluva",nan,nan,nan
492,493,kniha,,celé dílo,překlad,,"Richta, Radovan (jk01102454)",O politismos sto stavrodromi : I synepies tis epistimonikotechnikis sto mellon tu anthropu,Ο πολιτισμός στο σταυροδρόμι : Οι συνέπειες της επιστημονικοτεχνικής επανάστασης στο μέλλον του ανθρώπου,Metafrasi Nikos Karas Politikos michanikos,Civilizace na rozcestí : Společenské a lidské souvislosti vědeckotechnické revoluce,gre,cze,,,Atény (Řecko) : Kedros,Κέδρος,Provlimata tu keru mas,Προβλήματα του καιρού μας,,,428,2008,978-960-04-3857-4,"Karas, Nikos (trl) § Rappas, Lambis (aft) § Ŝorm, F. (aft)","Καράς, Νίκος § Ράππας, Λάμπης § Ŝorm, F.",,"Rappas, Lambis : poznámka ""Simiosi tu ekdoti""",,nan,nan
493,494,kniha,nan,celé dílo,překlad,nan,"Snítil, Zdeněk (jk01120212)",I Tsechoslovakia sto dromo pros ton sosialismo,Η Τσεχοσλοβακία στο δρόμο προς τον σοσιαλισμό,nan,Originál neznámý,gre,cze,nan,nan,Praha (Česká republika) : Orbis,nan,nan,nan,nan,nan,97,1988,nan,"Papadopulos, Lysimachos (trl)","Παπαδόπουλος, Λυσίμαχος",nan,Fotografie,nan,nan,nan
494,495,kniha,,celé dílo,,,Úřad vlády ČR. Sekretariát Rady vlády pro národnostní menšiny,Národnostně menšinová politika České republiky : Základní dokumenty,Národnostně menšinová politika České republiky : Základní dokumenty,,,cze § eng § bul § ger § gre § hun § pol § rom § rus § ukr § hrv § slo § ukr,,,,Praha (Česká republika) : Úřad vlády ČR. Sekretariát Rady vlády pro národnostní menšiny,,,,,,114,2003,80-86734-07-2,,,,,,nan,nan
