,Číslo záznamu,Finské id,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu v latince,Údaje o odpovědnosti a další informace (z titulní strany),Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel","Edice, svazek",Údaje o časopiseckém vydání,Počet stran,Rok,ISBN,Další role,Volná poznámka,technická poznámka
204,205,006984602,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Pila,,Žert,fin,cze,,,Helsinki (Finsko): Werner Söderström Osakeyhtiö ,Bon ; 6,,383.0,2015.0,978-951-0-40646-5,Maire Uusitalo (trl),,
205,206,000416127,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Naurattavien rakkauksien kirja,,Směšné lásky,fin,cze,,,Juva (Finsko): Werner Söderström Osakeyhtiö,Aikamme kertojia ; 73,,280.0,1988.0,951-0-15148-3,Kirsti Siraste (trl),,
206,207,,část knihy,205,celé dílo,překlad,,,Yksikään ei naura,,Nikdo se nebude smát,,,,,,,,,,,,,
207,208,,část knihy,000205,celé dílo,překlad,,,Ikikaipuun kultaomena,,Zlaté jablko věčné touhy,,,,,,,,,,,,,
208,209,,část knihy,000205,celé dílo,překlad,,,Liftileikki,,Falešný autostop,,,,,,,,,,,,,
209,210,,část knihy,000205,celé dílo,překlad,,,Illatsut,,Symposion,,,,,,,,,,,,,
210,211,,část knihy,000205,celé dílo,překlad,,,Vanhat vainajat väistykööt uusien tieltä ,,At´ ustoupí staří mrtví mladým mrtvým,,,,,,,,,,,,,
211,212,,část knihy,000205,celé dílo,překlad,,,Tohtori Havel vuosikymmenen kuluttua,,Doktor Havel po deseti letech,,,,,,,,,,,,,
212,213,,část knihy,000205,celé dílo,překlad,,,Eduard ja Jumala,,Eduard a Bůh,,,,,,,,,,,,,
213,214,001451527,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Naurun ja unohduksen kirja,,Kniha smíchu a zapomnění,fin,cze,,,Juva (Finsko): Werner Söderström Osakeyhtiö,Aikamme kertojia ; 74,,262.0,1983.0,951-0-11711-0,Kirsti Siraste (trl) § Jan Blomstedt (aui),,
214,215,003129678,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Naurun ja unohduksen kirja,,Kniha smíchu a zapomnění,fin,cze,,,Juva (Finsko): Werner Söderström Osakeyhtiö,Best seller ; pořadí neuvedeno,,262.0,1990.0,951-0-16214-0,Kirsti Siraste (trl) § Jan Blomstedt (aui),,
215,216,006985151,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Naurun ja unohduksen kirja,,Kniha smíchu a zapomnění,fin,cze,,,Helsinki (Finsko): Werner Söderström Osakeyhtiö,Bon ; 5,,349.0,2015.0,978-951-0-40648-9,Kirsti Siraste (trl),,
216,217,000838721,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Olemisen sietämätön keveys,,Nesnesitelná lehkost bytí,fin,cze,,,Juva (Finsko): Werner Söderström Osakeyhtiö,,,390.0,1996.0,951-0-21517-1,Kirsti Siraste (trl)  § Jan Blomstedt (aui),deváté vydání,
217,218,002458847,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Olemisen sietämätön keveys,,Nesnesitelná lehkost bytí,fin,cze,,,Juva (Finsko): Werner Söderström Osakeyhtiö,Best seller ; pořadí neuvedeno,,390.0,1994.0,951-0-16861-0,Kirsti Siraste (trl)  § Jan Blomstedt (aui),osmé vydání,paperback
218,219,	004871343,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Olemisen sietämätön keveys,,Nesnesitelná lehkost bytí,fin,cze,,,Helsinki (Finsko): Werner Söderström Osakeyhtiö : Loisto,,,390.0,2005.0,952-459-184-7,Kirsti Siraste (trl)  § Jan Blomstedt (aui),jedenácté vydání,paperback
219,220,002458847,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Olemisen sietämätön keveys,,Nesnesitelná lehkost bytí,fin,cze,,,Juva (Finsko): Werner Söderström Osakeyhtiö,Aikamme kertojia ; 75,,390.0,1991.0,951-0-13075-3,Kirsti Siraste (trl)  § Jan Blomstedt (aui),sedmé vydání,
220,221,006654557,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Olemisen sietämätön keveys,,Nesnesitelná lehkost bytí,fin,cze,,,Helsinki (Finsko): Werner Söderström Osakeyhtiö,Bon ; pořadí neuvedeno,,414.0,2014.0,978-951-0-40649-6,Kirsti Siraste (trl) ,,paperback
221,222,018172974,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Olemisen sietämätön keveys,,Nesnesitelná lehkost bytí,fin,cze,,,Helsinki (Finsko): Werner Söderström Osakeyhtiö,,,557.0,2022.0,978-951-0-48944-4,Kirsti Siraste (trl) ,,
222,223,000276579,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Pila,,Žert,fin,cze,,,Helsinki (Finsko): Werner Söderström Osakeyhtiö,,,327.0,2003.0,951-0-28199-9,Maire Uusitalo (trl),revidováno podle francouzského vydání z roku 1985,
223,224,011527484,kniha,,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Huumorin koulu ,12 oppituntia,Škola humoru,fin,cze,,,Helsinki (Finsko): Kansankulttuuri Oy,,,307.0,1959.0,s.Hce.II.3215,Aira Sinervo (trl) § Werner Klemke (ill) § Zdena Ančik (doslov),,
224,225,003252607,kniha,,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Shvejkin seikkailut maailmansodassa,1. Rintaman takana,Osudy dobrého vojáka Švejka za světové války - V zázemí,fin,cze,swe,,Helsinki (Finsko): Kirjailijain Kustannusliike,,,328.0,1935.0,s.Hce.II.528,Viljo Kajava (trl),,neuveden název švédského překladu
225,226,011527483,kniha,,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Shvejkin seikkailut maailmansodassa,2. Matkalla rintamalle,Osudy dobrého vojáka Švejka za světové války - Na frontě,fin,cze,swe,,Helsinki (Finsko): Kirjailijain Kustannusliike,,,349.0,1936.0,s.Hce.II.528,Viljo Kajava (trl),,neuveden název švédského překladu
226,227,000811235,kniha,,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Shvejkin seikkailut maailmansodassa I -Rintaman selkäpuolela,,Osudy dobrého vojáka Švejka za světové války - V zázemí,fin,cze,rus,,Leningrad (SSSR): Valtion Kustannusliike Kirja - Leningradin Osasto,,,185.0,1932.0,s.FeKa.II.257,Jalmari Virtanen (trl),,
227,228,	006833795,kniha,,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Shvejkin seikkailut maailmansodassa IV Etulinjoilla,,Osudy dobrého vojáka Švejka za světové války - Pokračování slavného výprasku,fin,cze,rus,,Leningrad (SSSR): Valtion Kustannusliike Kirja ,,,189.0,1936.0,s.FeKa.II.257,Jalmari Virtanen (trl) § Josef Lada (ill) § Leevi Aalto (ill),,
228,229,000733385,kniha,,souborné dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejkin seikkailut maailmansodassa I-II,,originál neexistuje,fin,cze,,,Helsinki (Finsko): Kansankulttuuri Oy,,,569.0,1959.0,s.Hce.II.3053,Marja Helin (trl) § Tuure Lehén (trl) § Elvi Sinervo (trl) § Josef Lada (ill),šesté vydání,
229,230,,část knihy,229,celé dílo,překlad,,,I osa - Rintaman takana,,Osudy dobrého vojáka Švejka za světové války - V zázemí,,,,,,,,,,,,,
230,231,,část knihy,229,celé dílo,překlad,,,II osa - Matkalla rintamalle,,Osudy dobrého vojáka Švejka za světové války - Na frontě,,,,,,,,,,,,,
231,232,000733386,kniha,,souborné dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejkin seikkailut maailmansodassa III-IV,,originál neexistuje,fin,cze,,,Helsinki (Finsko): Kansankulttuuri Oy,,,404.0,1959.0,s.Hce.II.3053,Marja Helin (trl) § Tuure Lehén (trl) § Elvi Sinervo (trl) § Josef Lada (ill),šesté vydání,
232,233,,část knihy,232,celé dílo,překlad,,,III osa - Kunniakas selkäsauna,,Osudy dobrého vojáka Švejka za světové války - Slavný výprask,,,,,,,,,,,,,
233,234,,část knihy,232,celé dílo,překlad,,,IV osa - Kunniakkaan selkäsaunan jatkoa,,Osudy dobrého vojáka Švejka za světové války - Pokračování slavného výprasku,,,,,,,,,,,,,
234,235,	000811240,kniha,,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Shvejkin seikkailut maailmansodassa II Rintamalla,,Osudy dobrého vojáka Švejka za světové války - Na frontě,fin,cze,rus,,Leningrad (SSSR): Valtion Kustannusliike Kirja ,,,173.0,1933.0,s.FeKa. II.257,Jalmari Virtanen (trl) § Josef Lada (ill) § Väinö Junus (ill),,
235,236,006612325,kniha,,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Shvejkin seikkailut maailmansodassa III Sotavankeuteen,,Osudy dobrého vojáka Švejka za světové války - Slavný výprask,fin,cze,rus,,Leningrad (SSSR): Valtion Kustannusliike Kirja ,,,173.0,1934.0,s.FeKa.II.254,Jalmari Virtanen (trl) § Josef Lada (ill) § Leevi Aalto (ill),,
236,237,000782952,kniha,,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Shvejkin seikkailut maailmansodassa Osa II Matkalla rintamalle,,Osudy dobrého vojáka Švejka za světové války - Na frontě,fin,cze,,,Helsinki (Finsko): Kansankulttuuri Oy,,,285.0,1947.0,s.Hce.II.1330,Marja Helin (trl),,
237,238,	003637577,kniha,,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejkin seikkailut maailmansodassa II osa Matkalla rintamalle,,Osudy dobrého vojáka Švejka za světové války - Na frontě,fin,cze,,,Helsinki (Finsko): Kansankulttuuri Oy,,,288.0,1956.0,s.Hce.II.2552,Marja Helin (trl) § Josef Lada (ill),páté vydání,
238,239,007336784,kniha,,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejkin seikkailut maailmansodassa I osa Rintaman takana,,Osudy dobrého vojáka Švejka za světové války - V zázemí,fin,cze,,,Helsinki (Finsko): Kansankulttuuri Oy,,,273.0,1956.0,s.Hce.II.2552,Marja Helin (trl) § Josef Lada (ill),páté vydání,
239,240,	000754778,kniha,,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejkin seikkailut maailmansodassa III osa Kunniakas selkäsauna,,Osudy dobrého vojáka Švejka za světové války - Slavný výprask,fin,cze,,,Helsinki (Finsko): Kansankulttuuri Oy,,,400.0,1956.0,s.Hce.II.2552,Marja Helin (trl) § Josef Lada (ill),páté vydání,
240,241,011527482,kniha,,souborné dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejkin seikkailut maailmansodassa I-II,,originál neexistuje,fin,cze,,,Helsinki (Finsko): Kansankulttuuri Oy,,,569.0,1968.0,s.Hce.II.8373,Marja Helin (trl) § Tuure Lehén (trl) § Elvi Sinervo (trl) § Josef Lada (ill),sedmé vydání,
241,242,,část knihy,241,celé dílo,překlad,,,I osa Rintaman takana,,Osudy dobrého vojáka Švejka za světové války - V zázemí,,,,,,,,,,,,,
242,243,,část knihy,241,celé dílo,překlad,,,II osa Matkalla rintamalle,,Osudy dobrého vojáka Švejka za světové války - Na frontě,,,,,,,,,,,,,
243,244,	012212887,kniha,,souborné dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejkin seikkailut maailmansodassa I-II,,originál neexistuje,fin,cze,,,Helsinki (Finsko): Kansankulttuuri Oy,,,569.0,1979.0,951-615-175-2,Marja Helin (trl) § Tuure Lehén (trl) § Elvi Sinervo (trl) § Josef Lada (ill),deváté vydání,
244,245,,část knihy,244,celé dílo,překlad,,,I osa Rintaman takana,,Osudy dobrého vojáka Švejka za světové války - V zázemí,,,,,,,,,,,,,
245,246,,část knihy,244,celé dílo,překlad,,,II osa Matkalla rintamalle,,Osudy dobrého vojáka Švejka za světové války - Na frontě,,,,,,,,,,,,,
246,247,005497807,kniha,,souborné dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejkin seikkailut maailmansodassa III-IV,,originál neexistuje,fin,cze,,,Helsinki (Finsko): Kansankulttuuri Oy,,,404.0,1979.0,951-615-275-9,Marja Helin (trl) § Tuure Lehén (trl) § Elvi Sinervo (trl) § Josef Lada (ill),deváté vydání,
247,248,,část knihy,247,celé dílo,překlad,,,III osa Kunniakas selkäsauna,,Osudy dobrého vojáka Švejka za světové války - Slavný výprask,,,,,,,,,,,,,
248,249,,část knihy,247,celé dílo,překlad,,,IV osa Kunniakkaan selkäsaunan jatkoa,,Osudy dobrého vojáka Švejka za světové války - Pokračování slavného výprasku,,,,,,,,,,,,,
249,250,005353869,kniha,,souborné dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejk maailmansodassa ,,originál neexistuje,fin,cze,,,Helsinki (Finsko): Kustannus Osakeyhtiö Orient Express,,,760.0,1991.0,951-615-792-0,Eero Balk (trl) § Josef Lada (ill),,
250,251,,část knihy,250,celé dílo,překlad,,,Osa I Selustassa,,Osudy dobrého vojáka Švejka za světové války - V zázemí,,,,,,,,,,,,,
251,252,,část knihy,250,celé dílo,překlad,,,Osa II Rintamalla,,Osudy dobrého vojáka Švejka za světové války - Na frontě,,,,,,,,,,,,,
252,253,,část knihy,250,celé dílo,překlad,,,Osa III Maineikas selkäsauna,,Osudy dobrého vojáka Švejka za světové války - Slavný výprask,,,,,,,,,,,,,
253,254,,část knihy,250,celé dílo,překlad,,,Osa IV Maineikkaan selkäsaunan jatkoa,,Osudy dobrého vojáka Švejka za světové války - Pokračování slavného výprasku,,,,,,,,,,,,,
254,255,	000221346,kniha,,souborné dílo,překlad,,,Kunnon sotamies Švejk maailmansodassa ,,originál neexistuje,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,760.0,1997.0,951-31-1117-2,Eero Balk (trl) § Josef Lada (ill),druhé vydání překladu Eera Balka,
255,256,,část knihy,255,celé dílo,překlad,,,Osa I Selustassa,,Osudy dobrého vojáka Švejka za světové války - V zázemí,,,,,,,,,,,,,
256,257,,část knihy,255,celé dílo,překlad,,,Osa II Rintamalla,,Osudy dobrého vojáka Švejka za světové války - Na frontě,,,,,,,,,,,,,
257,258,,část knihy,255,celé dílo,překlad,,,Osa III Maineikas selkäsauna,,Osudy dobrého vojáka Švejka za světové války - Slavný výprask,,,,,,,,,,,,,
258,259,,část knihy,255,celé dílo,překlad,,,Osa IV Maineikkaan selkäsaunan jatkoa,,Osudy dobrého vojáka Švejka za světové války - Pokračování slavného výprasku,,,,,,,,,,,,,
259,260,	003344172,kniha,,souborné dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejk maailmansodassa ,,originál neexistuje,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,760.0,2002.0,951-31-2676-5,Eero Balk (trl) § Josef Lada (ill),páté vydání překladu Eera Balka,
260,261,,část knihy,260,celé dílo,překlad,,,Osa I Selustassa,,Osudy dobrého vojáka Švejka za světové války - V zázemí,,,,,,,,,,,,,
261,262,,část knihy,260,celé dílo,překlad,,,Osa II Rintamalla,,Osudy dobrého vojáka Švejka za světové války - Na frontě,,,,,,,,,,,,,
262,263,,část knihy,260,celé dílo,překlad,,,Osa III Maineikas selkäsauna,,Osudy dobrého vojáka Švejka za světové války - Slavný výprask,,,,,,,,,,,,,
263,264,,část knihy,260,celé dílo,překlad,,,Osa IV Maineikkaan selkäsaunan jatkoa,,,,,,,,,,,,,,,
264,265,006443853,kniha,,souborné dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejk maailmansodassa ,,originál neexistuje,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,760.0,2013.0,978-951-31-7663-1,Eero Balk (trl) § Josef Lada (ill),šesté vydání překladu Eera Balka,
265,266,,část knihy,265,celé dílo,překlad,,,Osa I Selustassa,,Osudy dobrého vojáka Švejka za světové války - V zázemí,,,,,,,,,,,,,
266,267,,část knihy,265,celé dílo,překlad,,,Osa II Rintamalla,,Osudy dobrého vojáka Švejka za světové války - Na frontě,,,,,,,,,,,,,
267,268,,část knihy,265,celé dílo,překlad,,,Osa III Maineikas selkäsauna,,Osudy dobrého vojáka Švejka za světové války - Slavný výprask,,,,,,,,,,,,,
268,269,,část knihy,265,celé dílo,překlad,,,Osa IV Maineikkaan selkäsaunan jatkoa,,Osudy dobrého vojáka Švejka za světové války - Pokračování slavného výprasku,,,,,,,,,,,,,
269,270,000413985,kniha,,celé dílo,překlad,,"Klíma, Ladislav (jk01060531)",Ruhtinas Sternenhochin kärsimykset,,Utrpení knížete Sternenhocha ,fin,cze,,,Helsinki (Finsko): Like ,,,237.0,1994.0,951-578-207-4,Markku Tuiskula (trl),,
270,271,000718858,kniha,,celé dílo,překlad,,"Šoltész, Pavel (jk01130739)",Maanantaisin suljettu,,Zavírací den,fin,cze,,,Helsinki (Finsko): Kustannus Oy Taifuuni,Myrskyn merkki  ; pořadí neuvedeno,,285.0,1992.0,951-615-002-7,Eero Balk (trl),,
271,272,003092340,kniha,,celé dílo,překlad,,"Škvorecký, Josef (jk01130413)",Luutnantti Borůvkan murheet,,Smutek poručíka Borůvky,fin,cze,,,Juva (Finsko): Werner Söderström Osakeyhtiö, Sapo ; 272,,323.0,1982.0,951-0-11171-6,Kirsti Siraste (trl),,
272,273,003236093,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",Kotiinpaluu (Hordubal),Romaani,Hordubal,fin,cze,,,Porvoo (Finsko): Werner Söderström Osakeyhtiö,,,205.0,1937.0,,Reino Silvanto (trl),,
273,274,005412728,kniha,,celé dílo,překlad,,"Kundera, Milan (jk01070894)",Olemisen sietämätön keveys,,Nesnesitelná lehkost bytí,fin,cze,,,Juva (Finsko): Werner Söderström Osakeyhtiö,,,390.0,1985.0,951-0-13075-3,Kirsti Siraste (trl) § Jan Blomstedt (aui),,
274,275,000396007,kniha,,celé dílo,překlad,,,Uutta tšekkiläistä lasia / New Czech glass,Professori Stanislav Libenskýn oppilaita / Pupils of professor Stanislav Libenský,,fin,cze,,,Riihimäki (Finsko): Suomen lasimuseo,,,68.0,1988.0,951-99928-3-9,Lieko Zachovalová (trl) § Sylva Petrová (edt),,dvojjazyčný katalog výstavy
275,276,,část knihy,275,celé dílo,překlad,,"Libenský, Stanislav (jn19990009915)",Esipuhe / Introduction,,,,,,,,,,,,,,,
276,277,,část knihy,275,celé dílo,překlad,,"Hlava, Pavel (jo2003163281)",Taide ja teollisuus / Art and industry,,,,,,,,,,,,,,,
277,278,,část knihy,275,celé dílo,překlad,,"Petrová, Sylva (jk01092827)",Lasitaiteen vaiheita / The history of art glass,,,,,,,,,,,,,,,
278,279,018761293,kniha,,celé dílo,překlad,,"Mornštajnová, Alena (ola2007364886)",Hana,,Hana,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Kairaamo,,,350.0,2023.0,978-952-65206-0-5 ,Susanna Räty (trl),,podpořeno Ministerstvem kultury ČR
279,280,016873045,kniha,,celé dílo,adaptace,libreto,"Čapek, Karel (jk01021023) § Čapek, Josef § Kalevi Aho",Hyönteiselämää,Libretto Kalevi Ahon kaksinäytoksiseen oopperaan,Ze života hmyzu,fin,cze,,,Helsinki (Finsko): Suomen Kansallisooppera,,,31.0,1996.0,,,,
280,281,014705854,kniha,,celé dílo,překlad,,"Sirovátka, Oldřich (jk01111353) § Lužík, R.",Kodin satuaarteet 3,"Kissa viirusilmä, slaavilaisia satuja",,fin,cze,ger,,(Finsko): Weilin+Göös,Kodin satuaarteet ; 3,,235.0,1987.0,,Ullamari Kellomäki (trl) § Mária Želibská (ill),951-35-3957-1 (celá série?)/ 951-35-3960-1 (tento díl),neuveden název německého překladu
281,282,,část knihy,281,celé dílo,,,,"Prinsessa, joka aina vain itki",,,,,,,,,,,,,,,
282,283,,část knihy,281,celé dílo,,,,Kolme kalastajanpoikaa (puolalainen satu),,,,,,,,,,,,,,,
283,284,,část knihy,281,celé dílo,,,,"Sepäntytär, joka osasi vaieta (slovakialainen satu)",,,,,,,,,,,,,,,
284,285,,část knihy,281,celé dílo,,,,"Hongankolistaja, Paksukainen ja Teräväsilmä (tšekkiläinen satu)",,"Dlouhý, Široký a Bystrozraký?",,,,,,,,,,,,,
285,286,,"
část knihy",281,celé dílo,,,,Tyttö ja paholainen (tšekkiläinen satu),,Čert a Káča?,,,,,,,,,,,,,
286,287,,část knihy,281,celé dílo,,,,Kuinka rengistä tuli herra (puolalainen saru),,,,,,,,,,,,,,,
287,288,,část knihy,281,celé dílo,,,,Lehmännahka (puolalainen saru),,,,,,,,,,,,,,,
288,289,,část knihy,281,celé dílo,,,,Ukko Tietäväisen kolme kultaista hiusta (tšekkiläinen satu),,Tři zlaté vlasy děda Vševěda,,,,,,,,,,,,,
289,290,,část knihy,281,celé dílo,,,,Soiva lehmus (sorbilainen satu),,,,,,,,,,,,,,,
290,291,,část knihy,281,celé dílo,,,,Kaksitoista kuukautta (slovakialainen satu),,Dvanáct měsíčků?,,,,,,,,,,,,,
291,292,,část knihy,281,celé dílo,,,,Paholainen renkinä (slovakialainen satu),,,,,,,,,,,,,,,
292,293,,část knihy,281,celé dílo,,,,Sitten prinsessa kuivasi kyyneleensä,,,,,,,,,,,,,,,
293,294,,část knihy,281,celé dílo,,,,Kissa Viirusilmä (venäläinen satu),,,,,,,,,,,,,,,
294,295,,část knihy,281,celé dílo,,,,Hajamielinen Josef (ukrainalainen satu),,,,,,,,,,,,,,,
295,296,,část knihy,281,celé dílo,,,,Ivan ja taikahevonen (venäläinen satu),,,,,,,,,,,,,,,
296,297,,část knihy,281,celé dílo,,,,Taikuri Hohhoi (ukrainalainen satu),,,,,,,,,,,,,,,
297,298,,část knihy,281,celé dílo,,,,Kolja ja Merenhaltijan tytär (venäläinen satu),,,,,,,,,,,,,,,
298,299,,část knihy,281,celé dílo,,,,Ivan Kananjalka (venäläinen satu),,,,,,,,,,,,,,,
299,300,,část knihy,281,celé dílo,,,,Ukko Grigorin kepposet (ukrainalainen satu),,,,,,,,,,,,,,,
300,301,,část knihy,281,celé dílo,,,,Sepän sadut saivat prinsessan hymyilemään ,,,,,,,,,,,,,,,
301,302,,část knihy,281,celé dílo,,,,Hyväsydäminen tsaarinpoika (bulgarialainen satu),,,,,,,,,,,,,,,
302,303,,část knihy,281,celé dílo,,,,Nokkela prinsessa ja köyhä nuorukainen (slovenialainen satu),,,,,,,,,,,,,,,
303,304,,část knihy,281,celé dílo,,,,Susiveljekset (kroatialainen satu),,,,,,,,,,,,,,,
304,305,,část knihy,281,celé dílo,,,,Avuliaat eläimet (bulgarialainen satu),,,,,,,,,,,,,,,
305,306,,část knihy,281,celé dílo,,,,Kettu on aina kettu (makedonialainen satu),,,,,,,,,,,,,,,
306,307,,část knihy,281,celé dílo,,,,Maitoparta ja tyhmät jättiläiset (serbialainen satu),,,,,,,,,,,,,,,
307,308,,část knihy,281,celé dílo,,,,Ihmeellinen kala (slovenialainen satu),,,,,,,,,,,,,,,
308,309,,část knihy,281,celé dílo,,,,Kuinka Ero petkutti turkkilaisia (serbialainen satu),,,,,,,,,,,,,,,
309,310,,část knihy,281,celé dílo,,,,Ja lopulta prinsessa nauroi,,,,,,,,,,,,,,,
310,311,000735615,kniha,,celé dílo,překlad,,"Denk, Petr (jk01022207)",Nikkar-Tikkarin mäellä,,Do kola - zlatý povijan,fin,cze,,,(Finsko): Werner Söderström Osakeyhtiö,,,,1960.0,,Kirsi Kunnas (trl) § Adolf Zábranský (ill),nemá číslované strany,výběr z českých lidových básní poskytnutých Petrem Denkem
311,312,000671184,kniha,,antologie,,,"Čechura, Rudolf (jk01021177) §  Macourek, Miloš (jk01072813) § Bradáč, František § Vyskočil, Ivan (jk01151228) §  Krumbachová, Ester (jk01063545) §  Mikulka, Alois (jk01081647) §  Sekyrková, Hana (jk01022763) § Hejná, Olga (jk01040577) § Borská, Ilona (jk01012697) § Vostrá, Alena (jk01150760) §  Franková, Hermína (jk01031754) § Čtvrtek, Václav (jk01021929) §  Aškenazy, Ludvík (jk01010398) § Štuka, Ivo (jk01131550)",Satukaruselli,,originál neexistuje,fin,cze,ger,Märchenkarussell: Anthologie moderner tschechischer Märchen,Helsinki (Finsko): Weilin+Göös,,,213.0,1968.0,,Kaija Pakkanen (trl) § Václav Sivko (ill),,
312,313,,část knihy,312,celé dílo,,,"Čechura, Rudolf (jk01021177)",Vastahakoinen Eeva,,,,,,,,,,,,,,,
313,314,,část knihy,312,celé dílo,,,"Macourek, Miloš (jk01072813)",Heikki joka lihoi lihomistaan,,,,,,,,,,,,,,,
314,315,,část knihy,000312,celé dílo,,,"Bradáč, František",Eiperiksi,,,,,,,,,,,,,,,
315,316,,část knihy,000312,celé dílo,,,"Macourek, Miloš (jk01072813)",Susanna ja kirjaimet,,,,,,,,,,,,,,,
316,317,,část knihy,000312,celé dílo,,,"Vyskočil, Ivan (jk01151228) ",Seikkailu ruohikossa,,,,,,,,,,,,,,,
317,318,,část knihy,000312,celé dílo,,,"Krumbachová, Ester (jk01063545)","Susanna, flamingo ja unijukka",,,,,,,,,,,,,,,
318,319,,část knihy,000312,celé dílo,,,"Macourek, Miloš (jk01072813)",Virtahepo joka pelkäsi rokottamista,,,,,,,,,,,,,,,
319,320,,část knihy,000312,celé dílo,,,"Krumbachová, Ester (jk01063545)",Satu makaronista ja sateenvarjosta,,,,,,,,,,,,,,,
320,321,,část knihy,312,celé dílo,,,"Mikulka, Alois (jk01081647)",Klingelingauto ja pyrstötähti,,,,,,,,,,,,,,,
321,322,,část knihy,000312,celé dílo,,,"Macourek, Miloš (jk01072813)",Joonas joka ei pitänyt kalasta ,,,,,,,,,,,,,,,
322,323,,část knihy,000312,celé dílo,,,"Mikulka, Alois (jk01081647)",Lastentarha merellä,,,,,,,,,,,,,,,
323,324,,část knihy,000312,celé dílo,,,"Sekyrková, Hana (jk01022763) ",Aasi joka halusi palmikon,,,,,,,,,,,,,,,
324,325,,část knihy,000312,celé dílo,,,"Krumbachová, Ester (jk01063545)",Ihmeellinen ikkuna,,,,,,,,,,,,,,,
325,326,,část knihy,000312,celé dílo,,,"Macourek, Miloš (jk01072813)",Mistä aurinko saa sateenkaaren värit,,,,,,,,,,,,,,,
326,327,,část knihy,000312,celé dílo,,,"Hejná, Olga (jk01040577)",Hassujen päähänpistojen maa,,,,,,,,,,,,,,,
327,328,,část knihy,000312,celé dílo,,,"Mikulka, Alois (jk01081647)",Kun omenamato oli upottaa laivan,,,,,,,,,,,,,,,
328,329,,část knihy,000312,celé dílo,,,"Borská, Ilona (jk01012697) ",Vihreä satu taikuri Burnubiristä,,,,,,,,,,,,,,,
329,330,,část knihy,000312,celé dílo,,,"Mikulka, Alois (jk01081647)",Apina Bububu ja tiikeri Pantepante,,,,,,,,,,,,,,,
330,331,,část knihy,000312,celé dílo,,,"Vostrá, Alena (jk01150760)",Oli kerran kameli,,,,,,,,,,,,,,,
331,332,,část knihy,000312,celé dílo,,,"Franková, Hermína (jk01031754)",Uimaopettaja ja sardiinit,,,,,,,,,,,,,,,
332,333,,část knihy,000312,celé dílo,,,"Mikulka, Alois (jk01081647)",Tiikeri joka uneksi vapaudesta,,,,,,,,,,,,,,,
